,all,counts,male,,mostly_male,,female,,mostly_female,,andy,,unknown,
211,racks,77,comfortable,32.0,absolutely,4.0,incredible,22.0,individual,4.0,slt,1.0,swimming,15.0
212,incredible,76,convenient,32.0,walk,4.0,join,22.0,live,4.0,—heat,1.0,owner,15.0
213,stars,74,solid,32.0,bad,4.0,visiting,22.0,central,4.0,dynamic,1.0,squat,15.0
214,today,74,broken,32.0,reviews,4.0,hot,22.0,set,4.0,movement,1.0,changing,14.0
215,wanted,74,minutes,32.0,homeless,4.0,husband,22.0,solid,4.0,encouraged,1.0,bit,14.0
216,asked,74,walk,31.0,issues,4.0,account,22.0,crossfit,4.0,push/add,1.0,issue,14.0
217,charge,74,improve,31.0,accommodating,4.0,support,22.0,proper,4.0,weight/do,1.0,stay,14.0
218,lamar,74,powerlifting,31.0,fountain,4.0,helps,22.0,technique,4.0,fine,1.0,broken,14.0
219,motivating,73,studio,30.0,broken,4.0,pushes,22.0,jaime,4.0,genuinely,1.0,started,14.0
220,join,73,close,30.0,busy,4.0,helping,22.0,making,4.0,priority,1.0,attention,14.0
221,change,73,selection,30.0,hot,4.0,cool,22.0,lifting,4.0,learn,1.0,continue,14.0
222,spin,73,decent,30.0,police,4.0,lumos,22.0,racks,4.0,alt,1.0,cancellation,14.0
223,meet,72,multiple,30.0,brought,4.0,single,21.0,starting,4.0,movements,1.0,lifetime,14.0
224,golds,72,lamar,30.0,problem,4.0,vibe,21.0,feeling,4.0,upbeat,1.0,simply,14.0
225,left,71,starting,30.0,solid,4.0,train,21.0,called,4.0,music,1.0,session,14.0
226,morning,71,onnit,30.0,plenty,4.0,friend,21.0,credit,4.0,esp,1.0,areas,14.0
227,friends,71,10,29.0,affordable,4.0,opened,21.0,shower,4.0,seth,1.0,felt,14.0
228,visiting,71,morning,29.0,encouraging,4.0,point,21.0,--,4.0,sense,1.0,loved,13.0
229,guy,71,spot,29.0,signs,4.0,pay,21.0,ao,4.0,space/equipment,1.0,walked,13.0
230,swimming,71,visit,29.0,bit,4.0,focus,21.0,focus,4.0,range,1.0,phone,13.0
231,shower,70,pure,29.0,lake,4.0,offered,21.0,bootcamp,3.0,intuitive,1.0,towels,13.0
232,visit,70,energy,29.0,access,4.0,'d,21.0,everyday,3.0,obsessed,1.0,incredibly,13.0
233,employees,70,offer,28.0,tons,4.0,rooms,21.0,lack,3.0,tailoring,1.0,maintained,13.0
234,athletes,70,'d,28.0,multiple,4.0,locations,21.0,skill,3.0,struggled,1.0,schedule,13.0
235,instructor,69,reason,28.0,cool,4.0,completely,21.0,boring,3.0,lift,1.0,number,13.0
236,“,69,joined,28.0,asked,4.0,starting,21.0,covid,3.0,visit,1.0,problem,13.0
237,lifetime,69,friends,28.0,plan,4.0,barre,21.0,issue,3.0,downtown,1.0,glad,13.0
238,access,68,leave,28.0,guy,4.0,define,21.0,job,3.0,quarry,1.0,notice,13.0
239,guys,68,pf,28.0,frills,4.0,harder,20.0,folks,3.0,locations,1.0,ready,13.0
240,program,68,amenities,28.0,comfortable,4.0,wanted,20.0,students,3.0,daily,1.0,contract,13.0
241,feels,68,visited,28.0,maintained,4.0,focused,20.0,orangetheory,3.0,basis,1.0,special,13.0
242,strong,67,30,28.0,muscle,4.0,levels,20.0,south,3.0,hands-down,1.0,warm,13.0
