,neg,neu,pos,compound,place_id
219,0.0,0.548,0.452,0.9381,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
220,0.161,0.792,0.047,-0.9844,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
221,0.0,0.313,0.687,0.7644,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
222,0.0,0.924,0.076,0.4939,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
223,0.104,0.845,0.051,-0.296,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
224,0.0,0.608,0.392,0.9605,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
225,0.065,0.816,0.119,0.8432,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
226,0.126,0.742,0.132,0.3071,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
227,0.039,0.828,0.133,0.7267,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
228,0.0,0.711,0.289,0.6476,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
229,0.101,0.815,0.085,-0.8828,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
230,0.0,0.696,0.304,0.9764,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
231,0.0,0.603,0.397,0.8892,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
232,0.0,0.834,0.166,0.6801,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
233,0.063,0.884,0.054,-0.4714,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
234,0.0,0.926,0.074,0.4912,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
235,0.131,0.456,0.413,0.8824,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
236,0.048,0.758,0.194,0.8519,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
237,0.048,0.514,0.438,0.886,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
238,0.071,0.644,0.285,0.7696,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
239,0.053,0.706,0.241,0.8124,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
240,0.045,0.553,0.403,0.9671,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
241,0.082,0.671,0.248,0.69,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
242,0.0,0.826,0.174,0.7906,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
243,0.112,0.849,0.039,-0.4845,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
244,0.0,0.529,0.471,0.8689,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
245,0.161,0.556,0.283,0.5267,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
246,0.086,0.77,0.143,0.2135,ChIJ3QD4i0C0RIYR5TiI8PmmL_A
